beer_style,beer_name,brewery_name,abv,no_ratings,avg_rating,drop_me,url
Fruit and Field,Redd's Strawberry Ale,Miller Brewing Co.,5.00,278,2.72,,https://www.beeradvocate.com/beer/profile/105/98283/
Fruit and Field,Kinda Blue Blueberry Wheat Beer,Boulder Beer / Wilderness Pub,5.50,276,3.16,,https://www.beeradvocate.com/beer/profile/130/59395/
Fruit and Field,My Blueberry Nightmare,Birrificio Del Ducato,9.40,274,3.38,,https://www.beeradvocate.com/beer/profile/16043/84897/
Fruit and Field,Coors Light Summer Brew,Coors Brewing Company (Molson-Coors),3.90,269,2.43,,https://www.beeradvocate.com/beer/profile/306/118380/
Fruit and Field,Coolcumber,Wicked Weed Brewing,5.50,268,3.82,,https://www.beeradvocate.com/beer/profile/30581/94325/
Fruit and Field,Kriekbier,Brouwerij Liefmans,6.00,264,4.04,,https://www.beeradvocate.com/beer/profile/283/1947/
Fruit and Field,Apricot Blonde,Dry Dock Brewing Co.,5.10,258,3.91,,https://www.beeradvocate.com/beer/profile/12314/37941/
Fruit and Field,Grateful Harvest Cranberry Ale,Harpoon Brewery & Beer Hall,5.90,253,3.29,,https://www.beeradvocate.com/beer/profile/98/62522/
Fruit and Field,Blue Moon Mango Wheat,Coors Brewing Company (Molson-Coors),5.40,252,3.56,,https://www.beeradvocate.com/beer/profile/306/271820/
Fruit and Field,first ← prev| 1-50 | 51-100 | 101-150 | 151-200  | next → last,https://www.beeradvocate.com/beer/styles/9/?sort=revsD&start=0,,,,,
Fruit and Field,Saranac Blueberry Blonde Ale,Matt Brewing Company / Saranac Brewery,5.00,247,3.37,,https://www.beeradvocate.com/beer/profile/99/80356/
Fruit and Field,Stiegl Radler Zitrone (Lemon),Stieglbrauerei zu Salzburg GmbH,2.00,244,3.46,,https://www.beeradvocate.com/beer/profile/817/11840/
Fruit and Field,Virginia Blackberry,Hardywood Park Craft Brewery,6.80,239,3.67,,https://www.beeradvocate.com/beer/profile/26753/85203/
Fruit and Field,Melonhead,Shipyard Brewing Company,4.40,238,3.15,,https://www.beeradvocate.com/beer/profile/139/93036/
Fruit and Field,Jolly Traveler,The Traveler Beer Co.,4.40,238,3.53,,https://www.beeradvocate.com/beer/profile/31442/141540/
Fruit and Field,Watermelon Ale,Thomas Hooker Brewing Company,5.10,227,3.13,,https://www.beeradvocate.com/beer/profile/696/44788/
Fruit and Field,PB & J,Short's Brewing Company,8.00,225,3.57,,https://www.beeradvocate.com/beer/profile/9629/54851/
Fruit and Field,Moa Breakfast,Moa Brewing Company,5.50,225,3.52,,https://www.beeradvocate.com/beer/profile/15922/77474/
Fruit and Field,Peach Ale,Four Peaks Brewing Company - 8th Street Brewery,4.50,216,3.62,,https://www.beeradvocate.com/beer/profile/2171/10697/
Fruit and Field,HICu,Magic Hat Brewing Company,4.20,215,2.53,,https://www.beeradvocate.com/beer/profile/96/92378/
Fruit and Field,Bloody Beer,Short's Brewing Company,7.00,212,3.45,,https://www.beeradvocate.com/beer/profile/9629/38519/
Fruit and Field,Huckleberry Cream Ale,Laughing Dog Brewing,4.00,212,3.45,,https://www.beeradvocate.com/beer/profile/12985/31875/
Fruit and Field,Black Raspberry Reserve,Sly Fox Brewing Company,8.00,209,3.63,,https://www.beeradvocate.com/beer/profile/1853/32904/
Fruit and Field,Kennebunkport Blueberry Wheat Ale,Federal Jack's Restaurant & Brew Pub,4.60,205,3.08,,https://www.beeradvocate.com/beer/profile/663/45206/
Fruit and Field,Yamma Jamma,Indeed Brewing Company - Minneapolis,5.00,203,3.7,,https://www.beeradvocate.com/beer/profile/29223/87191/
Fruit and Field,Raspberry Ale,Thirsty Dog Brewing Company,3.90,203,3.45,,https://www.beeradvocate.com/beer/profile/12516/42204/
Fruit and Field,Ris A La M'ale,Mikkeller ApS,8.00,201,3.63,,https://www.beeradvocate.com/beer/profile/13307/63156/
Fruit and Field,Sea Dog Blueberry,Shipyard Brewing Company,4.70,199,3.37,,https://www.beeradvocate.com/beer/profile/139/68950/
Fruit and Field,Éphémère (Cranberry),Unibroue,5.50,198,3.68,,https://www.beeradvocate.com/beer/profile/22/8730/
Fruit and Field,Mango Cart,Golden Road Brewing,4.00,196,3.93,,https://www.beeradvocate.com/beer/profile/26932/346766/
Fruit and Field,Turbo Shandy,Hoppin' Frog Brewery,7.00,194,3.51,,https://www.beeradvocate.com/beer/profile/14879/59548/
Fruit and Field,Blueberry Cobbler Ale,Atwater Brewery,8.00,192,3.62,,https://www.beeradvocate.com/beer/profile/15280/86384/
Fruit and Field,Damascene Apricot Sour Ale,Tin Man Brewing Company,5.20,181,3.88,,https://www.beeradvocate.com/beer/profile/28567/121274/
Fruit and Field,Tropical Mango Pale Ale,St. John Brewers,4.50,180,2.98,,https://www.beeradvocate.com/beer/profile/12230/43441/
Fruit and Field,Blueberry Wheat Beer,Ellicottville Brewing Co.,4.80,180,3.59,,https://www.beeradvocate.com/beer/profile/692/42200/
Fruit and Field,Larry’s Latest Flamingo Fruit Fight,Bell's Brewery - Eccentric Café & General Store,5.00,177,3.95,,https://www.beeradvocate.com/beer/profile/287/365576/
Fruit and Field,Raspberry Wheat (Pilot Series),Alaskan Brewing Co.,6.50,174,3.68,,https://www.beeradvocate.com/beer/profile/429/58251/
Fruit and Field,Mural - Watermelon Lime,New Belgium Brewing Company,4.00,168,3.55,,https://www.beeradvocate.com/beer/profile/192/335648/
Fruit and Field,Acai Berry Wheat,Eel River Brewing Co.,4.00,167,3.14,,https://www.beeradvocate.com/beer/profile/1627/48953/
Fruit and Field,Tenacious Cassis,Kuhnhenn Brewing Company,16.50,167,4.13,,https://www.beeradvocate.com/beer/profile/2097/37798/
Fruit and Field,Redd's Wicked Apple Ale,Miller Brewing Co.,8.00,166,2.99,,https://www.beeradvocate.com/beer/profile/105/132379/
Fruit and Field,Newport Storm Rhode Island Blueberry,Newport Craft Brewing & Distilling Co.,4.60,166,3.41,,https://www.beeradvocate.com/beer/profile/688/31193/
Fruit and Field,Lil' Brainless Raspberries,Epic Brewing Company,5.20,161,3.57,,https://www.beeradvocate.com/beer/profile/22893/157523/
Fruit and Field,Fruit-Full Fort,Dogfish Head Craft Brewery,18.00,157,3.94,,https://www.beeradvocate.com/beer/profile/64/313584/
Fruit and Field,Jam Band,Boulevard Brewing Co.,5.90,156,3.79,,https://www.beeradvocate.com/beer/profile/423/297368/
Fruit and Field,Éphémère (Cherry),Unibroue,5.50,156,3.55,,https://www.beeradvocate.com/beer/profile/22/95394/
Fruit and Field,Autumn Ale Brew,Woodstock Inn Brewery,4.63,155,3.62,,https://www.beeradvocate.com/beer/profile/1251/4962/
Fruit and Field,Barbe Ruby,Brouwerij Verhaeghe,7.70,155,3.92,,https://www.beeradvocate.com/beer/profile/641/107152/
Fruit and Field,Big Rod Coconut Ale,Miami Brewing Company,5.40,151,3.63,,https://www.beeradvocate.com/beer/profile/28656/102589/
Fruit and Field,Traverse City Cherry Wheat,Atwater Brewery,4.80,148,3.13,,https://www.beeradvocate.com/beer/profile/15280/80199/
Fruit and Field,Door County Cherry Wheat,Hinterland Brewery Restaurant,5.40,147,3.38,,https://www.beeradvocate.com/beer/profile/4426/60060/
Fruit and Field,Bink Bloesem (Bloesembink),Brouwerij Kerkom,7.10,147,3.67,,https://www.beeradvocate.com/beer/profile/3313/15041/
Fruit and Field,Schell's Shocked Radler,August Schell Brewing Company,4.60,146,3.34,,https://www.beeradvocate.com/beer/profile/417/83843/
Fruit and Field,Mixed Media,Dogfish Head Craft Brewery,7.50,145,3.74,,https://www.beeradvocate.com/beer/profile/64/341543/
Fruit and Field,Strawberry Rhubarb,Great Divide Brewing Company,6.20,144,3.91,,https://www.beeradvocate.com/beer/profile/158/139592/
Fruit and Field,Leffe Ruby,Abbaye de Leffe S.A.,5.00,144,3.1,,https://www.beeradvocate.com/beer/profile/470/41964/
Fruit and Field,Strawberry Blonde,Arbor Brewing - Plymouth Taproom,6.80,140,3.6,,https://www.beeradvocate.com/beer/profile/1457/52635/
Fruit and Field,Cherry Blossom Lager,Fordham & Dominion Brewing Company,5.20,140,3.42,,https://www.beeradvocate.com/beer/profile/402/90806/
Fruit and Field,Apricot Wheat,Otto's Pub and Brewery,4.80,139,3.59,,https://www.beeradvocate.com/beer/profile/2943/7174/
Fruit and Field,Phoenix Kriek,Selin's Grove Brewing Company,6.50,138,4.34,,https://www.beeradvocate.com/beer/profile/1666/37474/
Fruit and Field,first ← prev| 1-50 | 51-100 | 101-150 | 151-200 | 201-250  | next → last,https://www.beeradvocate.com/beer/styles/9/?sort=revsD&start=0,,,,,
Fruit and Field,Natural Light Naturdays,Anheuser-Busch,4.20,138,3.36,,https://www.beeradvocate.com/beer/profile/29/382416/
Fruit and Field,Firefly,Odd Side Ales,6.50,135,3.7,,https://www.beeradvocate.com/beer/profile/22564/103173/
Fruit and Field,Fire In The Hole Raspberry Habanero Red Ale,Funky Buddha Brewery,5.40,135,3.78,,https://www.beeradvocate.com/beer/profile/31805/102492/
Fruit and Field,Dog Ate My Homework,Brouwerij West,7.00,134,3.82,,https://www.beeradvocate.com/beer/profile/23628/87588/
Fruit and Field,Pink Killer,Brasserie de Silly S.A.,5.00,133,2.61,,https://www.beeradvocate.com/beer/profile/804/21095/
Fruit and Field,Sparkleberry,Bell's Brewery - Eccentric Café & General Store,9.00,132,3.7,,https://www.beeradvocate.com/beer/profile/287/96291/
Fruit and Field,Wittekerke Rosé,De Brabandere,4.30,130,2.64,,https://www.beeradvocate.com/beer/profile/718/18432/
Fruit and Field,Cage Radler,Victory Brewing Company - Downingtown,3.00,130,3.56,,https://www.beeradvocate.com/beer/profile/345/184661/
Fruit and Field,Supertramp,Flying Dog Brewery,4.70,129,3.17,,https://www.beeradvocate.com/beer/profile/68/154419/
Fruit and Field,Modelo Especial Chelada,Grupo Modelo S.A. de C.V.,3.50,129,2.63,,https://www.beeradvocate.com/beer/profile/75/99963/
Fruit and Field,Wanderland,Sierra Nevada Brewing Co.,7.50,129,3.78,,https://www.beeradvocate.com/beer/profile/140/503972/
Fruit and Field,Ginger Shandy,Jacob Leinenkugel Brewing Company,4.20,125,3.3,,https://www.beeradvocate.com/beer/profile/710/166955/
Fruit and Field,Swill Beer,10 Barrel Brewing Co.,4.50,125,3.43,,https://www.beeradvocate.com/beer/profile/16873/93805/
Fruit and Field,Bunker Hill Blueberry Ale,Boston Beer Works - Canal Street,4.80,123,3.56,,https://www.beeradvocate.com/beer/profile/299/553/
Fruit and Field,Blood Orange Wheat,Jack's Abby Brewing,4.00,120,3.54,,https://www.beeradvocate.com/beer/profile/26520/334128/
Fruit and Field,Pear Lager,Devils Backbone Brewing Company,4.40,120,3.56,,https://www.beeradvocate.com/beer/profile/18539/88045/
Fruit and Field,Ter Dolen Kriek,Brouwerij Ter Dolen N.V.,4.50,119,3.36,,https://www.beeradvocate.com/beer/profile/3512/23330/
Fruit and Field,Peachy King,RJ Rockers Brewing Company,9.00,119,3.76,,https://www.beeradvocate.com/beer/profile/4408/112429/
Fruit and Field,Floris Apple,Brouwerij Huyghe,3.60,119,3.69,,https://www.beeradvocate.com/beer/profile/180/36822/
Fruit and Field,Watermelon Shandy,Jacob Leinenkugel Brewing Company,4.20,118,3.43,,https://www.beeradvocate.com/beer/profile/710/204396/
Fruit and Field,Garden Of Eden,To Øl,6.40,116,3.91,,https://www.beeradvocate.com/beer/profile/24299/124956/
Fruit and Field,Ruby Ale,McMenamins,4.39,115,3.55,,https://www.beeradvocate.com/beer/profile/2104/9056/
Fruit and Field,Vibrant P'ocean,Dogfish Head Craft Brewery,4.70,115,3.82,,https://www.beeradvocate.com/beer/profile/64/454895/
Fruit and Field,Blueberry Ale,Pump House Brewery,5.00,114,3.45,,https://www.beeradvocate.com/beer/profile/7008/14254/
Fruit and Field,Apricot Wheat,Fitger's Brewhouse,5.00,113,3.88,,https://www.beeradvocate.com/beer/profile/1169/12443/
Fruit and Field,Shadow's Wild Black,Anheuser-Busch,8.00,112,2.51,,https://www.beeradvocate.com/beer/profile/29/80198/
Fruit and Field,Lost Dune,New Holland Brewing Company,5.50,112,3.54,,https://www.beeradvocate.com/beer/profile/335/220830/
Fruit and Field,Elektrick Cukumbahh,Trinity Brewing Company,6.40,112,3.81,,https://www.beeradvocate.com/beer/profile/18120/94902/
Fruit and Field,Blood Orange Honey,Cheboygan Brewing Company,5.70,110,3.7,,https://www.beeradvocate.com/beer/profile/27032/155153/
Fruit and Field,Abita Blueberry Wheat (Harvest Series),Abita Brewing Co.,4.40,108,3.56,,https://www.beeradvocate.com/beer/profile/3/220415/
Fruit and Field,Paletas #1 (Guava),5 Rabbit Cerveceria,3.50,107,3.63,,https://www.beeradvocate.com/beer/profile/25544/97153/
Fruit and Field,Cherry Chouffe,Brasserie d'Achouffe,8.00,107,3.85,,https://www.beeradvocate.com/beer/profile/321/292771/
Fruit and Field,Tundrabeary Ale,Tommyknocker Brewery,4.70,107,2.72,,https://www.beeradvocate.com/beer/profile/156/6845/
Fruit and Field,Blueberry Ale,Moat Mountain Smoke House & Brewing Co.,4.50,104,3.56,,https://www.beeradvocate.com/beer/profile/451/19902/
Fruit and Field,La Choulette Framboise,Brasserie La Choulette,6.00,102,3.91,,https://www.beeradvocate.com/beer/profile/1682/12021/
Fruit and Field,The Good Samaritan,Short's Brewing Company,7.00,101,3.47,,https://www.beeradvocate.com/beer/profile/9629/64814/
Fruit and Field,Coup De Grisou,Brasseurs R.J.,5.00,100,3.68,,https://www.beeradvocate.com/beer/profile/1535/13003/
Fruit and Field,St-Ambroise Framboise,McAuslan Brewing,5.00,99,3.62,,https://www.beeradvocate.com/beer/profile/194/31086/
Fruit and Field,SPF 50/50 India Pale Radler,Red Hare Brewing Company,4.20,98,3.91,,https://www.beeradvocate.com/beer/profile/26784/213753/
Fruit and Field,"You're My Boy, Blue!",Brew Bus Brewing,5.00,97,3.31,,https://www.beeradvocate.com/beer/profile/33160/104092/
Fruit and Field,Steel Reserve (Alloy Series) Blk Berry,Steel Brewing Company,8.00,96,2.86,,https://www.beeradvocate.com/beer/profile/257/99349/
Fruit and Field,Éphémère (Blueberry),Unibroue,5.50,96,3.8,,https://www.beeradvocate.com/beer/profile/22/225442/
Fruit and Field,Paradise Pucker,Rogue Ales,6.00,96,3.89,,https://www.beeradvocate.com/beer/profile/132/235466/
Fruit and Field,Floris Framboise,Brouwerij Huyghe,3.70,95,3.76,,https://www.beeradvocate.com/beer/profile/180/13869/
Fruit and Field,Melbourn Bros. Strawberry,Melbourn Bros.,3.40,94,3.75,,https://www.beeradvocate.com/beer/profile/101/56/
Fruit and Field,Amstel Radler,Amstel Brouwerij B. V.,2.00,94,3.05,,https://www.beeradvocate.com/beer/profile/163/118168/
Fruit and Field,Tart Mango Cart,Golden Road Brewing,4.00,94,3.85,,https://www.beeradvocate.com/beer/profile/26932/268286/
